question,context,lang,answerable,answer_start,answer,answer_inlang,had_good_te,will_be_pseudo
న్యూజిలాండ్‌ దేశ రాజధాని ఏది ?,"Wellington has been the capital of New Zealand since 1865. New Zealand's first capital city was Old Russell (Okiato) in 1840–41. Auckland was the second capital from 1841 until 1865, when Parliament was permanently moved to Wellington after an argument that persisted for a decade. As the members of parliament could not agree on the location of a more central capital, Wellington was decided on by three Australian commissioners.",te,True,0,Wellington,వెల్లింగ్టన్,False,True
బెనిటో అమిల్‌కేర్ ఆండ్రియా ముస్సోలినీ తల్లిదండ్రులు పేర్లేమిటి?,"Benito Mussolini's father, Alessandro Mussolini, was a blacksmith and a socialist, while his mother, Rosa (née Maltoni), was a devout Catholic schoolteacher. Owing to his father's political leanings, Mussolini was named Benito after Mexican leftist president Benito Juárez, while his middle names Andrea and Amilcare were from Italian socialists Andrea Costa and Amilcare Cipriani. Benito was the eldest of his parents' three children. His siblings Arnaldo and Edvige followed.",te,True,19,"father, Alessandro Mussolini, was a blacksmith and a socialist, while his mother, Rosa (née Maltoni), was a devout Catholic schoolteacher","తండ్రి, అలెస్సాండ్రో ముస్సోలినీ, ఒక చెత్త మరియు ఒక సోషలిస్ట్, అయితే అతని తల్లి, రోసా (née Maltoni), ఒక భక్తుడు కాథలిక్ పాఠశాల ఉపాధ్యాయుడు",False,True
2018 నాటికీ అమెరికా సంయుక్త రాష్ట్రాలు ఎన్ని ?,"The United States of America is a federal republic consisting of 50 states, a federal district (Washington, D.C., the capital city of the United States), five major territories, and various minor islands. The 48 contiguous states and Washington, D.C., are in central North America between Canada and Mexico; the two other states, Alaska and Hawaii, are in the northwestern part of North America and an archipelago in the mid-Pacific, respectively, while the territories are scattered throughout the Pacific Ocean and the Caribbean Sea.",te,True,65,50,50,False,True
లెబనాన్ దేశ మొదటి ప్రధానమంత్రి ఎవరు?,"The region eventually was ruled by the Ottoman Empire from 1516 to 1918. Following the collapse of the empire after World War I, the five provinces that constitute modern Lebanon came under the French Mandate of Lebanon. The French expanded the borders of the Mount Lebanon Governorate, which was mostly populated by Maronites and Druze, to include more Muslims. Lebanon gained independence in 1943, establishing confessionalism, a unique, Consociationalism-type of political system with a power-sharing mechanism based on religious communities. Bechara El Khoury, President of Lebanon during the independence, Riad El-Solh, first Lebanese prime minister and Emir Majid Arslan II, first Lebanese minister of defence, are considered the founders of the modern Republic of Lebanon and are national heroes for having led the country's independence. Foreign troops withdrew completely from Lebanon on 31 December 1946. Lebanon has been a member of the United Nations since its founding in 1945 as well as of the Arab League (1945), the Non-Aligned Movement (1961), Organisation of the Islamic Cooperation (1969) and the Organisation internationale de la francophonie (1973).",te,True,611,Riad El-Solh,రియాద్ ఎల్-సోల్,False,True
గాడ్ అఫ్ క్రికెట్ అన్ని ఎవరిని అంటారు?,"Sachin Ramesh Tendulkar (; born 24 April 1973) is a former Indian international cricketer and a former captain of the Indian national team, regarded as one of the greatest batsman of all time. He is the highest run scorer of all time in International cricket. Tendulkar took up cricket at the age of eleven, made his Test debut on 15 November 1989 against Pakistan in Karachi at the age of sixteen, and went on to represent Mumbai domestically and India internationally for close to twenty-four years. He is the only player to have scored one hundred international centuries, the first batsman to score a double century in a ODI, the holder of the record for the most number of runs in both Test and ODI, and the only player to complete more than 30,000 runs in international cricket. He is colloquially known as Little Master or Master Blaster, and often referred to as the God of Cricket by Indian cricket followers.
In 2001, Sachin Tendulkar became the first batsman to complete 10,000 ODI runs in his 259 innings. In 2002, halfway through his career, ""Wisden Cricketers' Almanack"" ranked him the second greatest Test batsman of all time, behind Don Bradman, and the second greatest ODI batsman of all time, behind Viv Richards. Later in his career, Tendulkar was a part of the Indian team that won the 2011 World Cup, his first win in six World Cup appearances for India. He had previously been named ""Player of the Tournament"" at the 2003 edition of the tournament, held in South Africa. In 2013, he was the only Indian cricketer included in an all-time Test World XI named to mark the 150th anniversary of ""Wisden Cricketers' Almanack"".",te,True,0,Sachin Ramesh Tendulkar,సచిన్ రమేష్ టెండూల్కర్,False,True
ఆంధ్ర ప్రదేశ్ రాష్ట్ర పునర్విభజన చట్టం ఎప్పుడు అమలు లోకి వచ్చింది?,"The Andhra Pradesh Reorganisation Act, 2014, popularly known as the Telangana Act is an Act of Indian Parliament that bifurcated the state of Andhra Pradesh into Telangana and the residuary Andhra Pradesh state, due to the Telangana movement. The Act defined the boundaries of the two states, determined how the assets and liabilities were to be divided, and laid out the status of Hyderabad as the permanent capital of new Telangana state and temporary capital of the Andhra Pradesh state.",te,True,39,2014,2014 సంవత్సరం,False,True
జమ్ము మరియు కాశ్మీర్ రాష్ట్రం లో అతిపెద్ద నగరం పేరేమిటి?,"Srinagar () is the largest city and the summer capital of the Indian state of Jammu and Kashmir. It lies in the Kashmir Valley on the banks of the Jhelum River, a tributary of the Indus, and Dal and Anchar lakes. The city is known for its natural environment, gardens, waterfronts and houseboats. It is also known for traditional Kashmiri handicrafts and dried fruits. It is the northernmost city of India with over 1 million people.",te,True,0,Srinagar () is the largest city and the summer capital of the Indian state of Jammu and Kashmi,శ్రీనగర్ () భారతదేశం యొక్క జమ్మూ కాశ్మీర్ రాష్ట్రం యొక్క అతిపెద్ద నగరం మరియు వేసవి రాజధాని,False,True
ఆంగ్లంలో అతిపెద్ద పదం ఏది?,"Antidisestablishmentarianism, at 28 letters, is the longest non-coined, non-systematic English word in Oxford Dictionaries. It refers to a 19th-century political movement that opposed the disestablishment of the Church of England as the state church of England.",te,True,0,Antidisestablishmentarianism,వ్యవస్థాపక వ్యతిరేకత,False,True
షేక్ చిన మౌలానా ఎప్పుడు మరణించాడు?,"Sheik Chinna Moulana (12 May 1924, Guntur, Andhra Pradesh – 13 April 1999, Srirangam, Tamil Nadu), popularly known as Sheik, was a legendary nadhaswaram player in the Carnatic tradition. He was awarded the Madras Music Academy's Sangeetha Kalanidhi in 1998. He achieved high position through his outstanding control over the instrument, rendering the Krities in the Gayaki style and for his extraordinary style of Raga Alapana.",te,True,60,13 April 1999,"ఏప్రిల్ 13, 1999",False,True
క్యాన్సర్ మొత్తం ఎన్ని రకాలుగా గుర్తించారు?,"Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body. These contrast with benign tumors, which do not spread to other parts of the body. Possible signs and symptoms include a lump, abnormal bleeding, prolonged cough, unexplained weight loss and a change in bowel movements. While these symptoms may indicate cancer, they may have other causes. Over 100 types of cancers affect humans.
Tobacco use is the cause of about 22% of cancer deaths. Another 10% are due to obesity, poor diet, lack of physical activity or excessive drinking of alcohol. Other factors include certain infections, exposure to ionizing radiation and environmental pollutants. In the developing world, 15% of cancers are due to infections such as ""Helicobacter pylori"", hepatitis B, hepatitis C, human papillomavirus infection, Epstein–Barr virus and human immunodeficiency virus (HIV). These factors act, at least partly, by changing the genes of a cell. Typically, many genetic changes are required before cancer develops. Approximately 5–10% of cancers are due to inherited genetic defects from a person's parents. Cancer can be detected by certain signs and symptoms or screening tests. It is then typically further investigated by medical imaging and confirmed by biopsy.
Many cancers can be prevented by not smoking, maintaining a healthy weight, not drinking too much alcohol, eating plenty of vegetables, fruits and whole grains, vaccination against certain infectious diseases, not eating too much processed and red meat and avoiding too much sunlight exposure. Early detection through screening is useful for cervical and colorectal cancer. The benefits of screening in breast cancer are controversial. Cancer is often treated with some combination of radiation therapy, surgery, chemotherapy and targeted therapy. Pain and symptom management are an important part of care. Palliative care is particularly important in people with advanced disease. The chance of survival depends on the type of cancer and extent of disease at the start of treatment. In children under 15 at diagnosis, the five-year survival rate in the developed world is on average 80%. For cancer in the United States, the average five-year survival rate is 66%.
In 2015, about 90.5 million people had cancer. About 14.1 million new cases occur a year (not including skin cancer other than melanoma). It caused about 8.8 million deaths (15.7% of deaths). The most common types of cancer in males are lung cancer, prostate cancer, colorectal cancer and stomach cancer. In females, the most common types are breast cancer, colorectal cancer, lung cancer and cervical cancer. If skin cancer other than melanoma were included in total new cancer cases each year, it would account for around 40% of cases. In children, acute lymphoblastic leukemia and brain tumors are most common, except in Africa where non-Hodgkin lymphoma occurs more often. In 2012, about 165,000 children under 15 years of age were diagnosed with cancer. The risk of cancer increases significantly with age, and many cancers occur more commonly in developed countries. Rates are increasing as more people live to an old age and as lifestyle changes occur in the developing world. The financial costs of cancer were estimated at $1.16 trillion USD per year .
",te,True,423,100,100,False,True
హిందీ చలనచిత్ర పరిశ్రమ ఎక్కడ ఉంది?,"Hindi cinema, often metonymously referred to as Bollywood and formerly known as Bombay cinema, is the Indian Hindi-language film industry, based in the city of Mumbai (formerly Bombay), Maharashtra, India. The term being a portmanteau of ""Bombay"" and ""Hollywood"", Bollywood is a part of the larger cinema of India (also known as Indywood), which includes other production centers producing films in other Indian languages. Linguistically, Bollywood films tend to use a colloquial dialect of Hindi-Urdu, or Hindustani, mutually intelligible to both Hindi and Urdu speakers, while modern Bollywood films also increasingly incorporate elements of Hinglish.",te,True,160,Mumbai,ముంబై,False,True
సచిన్ టెండూల్కర్ తన క్రీడాజీవితంలో ఎన్ని టెస్ట్ మ్యాచ్‌ లు ఆడాడు?,"In 2010, ""Time"" magazine included Sachin in its annual Time 100 list as one of the ""Most Influential People in the World"".
In December 2012, Tendulkar announced his retirement from ODIs. He retired from Twenty20 cricket in October 2013 and subsequently retired from all forms of cricket on 16 November 2013 after playing his 200th Test match, against the West Indies in Mumbai's Wankhede Stadium. Tendulkar played 664 international cricket matches in total, scoring 34,357 runs.",te,True,414,664,664 వ వంశం,False,True
2015లో విశాఖపట్నం జిల్లా అక్షరాస్యత శాతం ఎంత?,"According to the 2011 census Visakhapatnam district has a population of 4,288,113 This gives it a ranking of 44th in India (out of a total of 640) and 4th in its state. The district has a population density of . Its population growth rate over the decade 2001-2011 was 11.89%. Visakhapatnam has a sex ratio of 1003 females for every 1000 males, and a literacy rate of 67.7%.",te,True,368,67.7%,67.7%,False,True
పలమనేరు పట్టణ వైశాల్యం ఎంత?,"Palamaner is located in Chittoor District, Andhra Pradesh at . It has an average elevation of 683 meters (2,244 ft). Being close to Karnataka and Tamil Nadu state borders, people here bear a mixed culture. ",te,True,94,"683 meters (2,244 ft)","683 మీటర్లు (2,244 అడుగులు)",False,True
సౌరవిద్యుత్‌ ఉత్పత్తిని మొట్టమొదటగా ఏ దేశం ప్రారంభించింది?,"Spain is one of the top ten countries by solar photovoltaics installed capacity and the first country for concentrated solar power (CSP) in the world.
In 2016, the cumulative total solar power installed was 6,969 MW, of which 4,669 MW were solar PV installations and 2,300 MW were concentrated solar power. 
In 2016, nearly 8 TWh of electrical power was produced from photovoltaics, and 5 TWh from CSP plants. During 2016 Photovoltaics accounted for 3% of total electricity generation and solar thermal an additional 1.9%.",te,True,0,Spain,స్పెయిన్,False,True
మొదటగా సునామి ఎప్పుడు వచ్చింది ?,"Tsunamis are an often underestimated hazard in the Mediterranean Sea and parts of Europe. Of historical and current (with regard to risk assumptions) importance are the 1755 Lisbon earthquake and tsunami (which was caused by the Azores–Gibraltar Transform Fault), the 1783 Calabrian earthquakes, each causing several tens of thousands of deaths and the 1908 Messina earthquake and tsunami. The tsunami claimed more than 123,000 lives in Sicily and Calabria and is among the most deadly natural disasters in modern Europe. The Storegga Slide in the Norwegian Sea and some examples of tsunamis affecting the British Isles refer to landslide and meteotsunamis predominantly and less to earthquake-induced waves.",te,True,169,1755,1755 వ సంవత్సరం,False,True
ఇంటెల్ సంస్థని స్థాపించింది ఎవరు ?,"Intel Corporation was founded on July 18, 1968, by semiconductor pioneers Robert Noyce and Gordon Moore (of Moore's law), and widely associated with the executive leadership and vision of Andrew Grove. The company's name was conceived as portmanteau of the words ""int""egrated and ""el""ectronics, with co-founder Noyce having been a key inventor of the integrated circuit (microchip). The fact that ""intel"" is the term for intelligence information also made the name appropriate. Intel was an early developer of SRAM and DRAM memory chips, which represented the majority of its business until 1981. Although Intel created the world's first commercial microprocessor chip in 1971, it was not until the success of the personal computer (PC) that this became its primary business.",te,True,0,"Intel Corporation was founded on July 18, 1968, by semiconductor pioneers Robert Noyce and Gordon Moore","ఇంటెల్ కార్పొరేషన్ను జూలై 18, 1968 న సెమీకండక్టర్ మార్గదర్శకులు రాబర్ట్ నోయిస్ మరియు గోర్డాన్ మూర్ స్థాపించారు",False,True
2017లో ఆంధ్రప్రదేశ్ లో మొత్తం ఎన్ని జిల్లాలు ఉన్నాయి?,"It has a total of 13 districts, nine in Coastal Andhra Region and four in Rayalaseema Region.",te,True,0,It has a total of 13 districts,ఇందులో మొత్తం 13 జిల్లాలు ఉన్నాయి.,False,True
ప్రపంచంలోనే అతిపెద్ద పూరీ జగన్నాద్ క్షేత్రం ఎక్కడ ఉంది?,"Jagannath is considered a non-sectarian deity. He is significant regionally in the Indian states of Odisha, Chhattisgarh, West Bengal, Jharkhand, Bihar, Gujarat, Assam, Manipur and Tripura. He is also significant to the Hindus of Bangladesh. The Jagannath temple in Puri, Odisha is particularly significant in Vaishnavism, and is regarded as one of the Char Dham pilgrimage sites in India. The Jagannath temple is massive, over 200 feet high in the ""Nagara"" [Hindu temple style, and one of the best surviving specimens of Kalinga Architecture aka Odisha art and architecture. It has been one of the major pilgrimage destination for Hindus since about 800 CE.",te,True,246,"Jagannath temple in Puri, Odisha",ఒడిశా లోని పురి లో జగన్నాథ్ ఆలయం,False,True
మొదటి ట్యూబ్ లెస్ టైర్ ను కనుగొన్నది ఎవరు?,"In 1947, BFGoodrich developed the first tubeless tire in the United States. The tubeless tire eliminate the need for an inner tube, which improves performance and safety, as well as enhanced comfort for the car's occupants.",te,True,9,BFGoodrich,బి. ఎఫ్. గుడ్ రిచ్,False,True
ఆక్సిజన్ రసాయన పేరు ఏమిటి?,"Oxygen is a chemical element with symbol O and atomic number 8. It is a member of the chalcogen group on the periodic table, a highly reactive nonmetal, and an oxidizing agent that readily forms oxides with most elements as well as with other compounds. By mass, oxygen is the third-most abundant element in the universe, after hydrogen and helium. At standard temperature and pressure, two atoms of the element bind to form dioxygen, a colorless and odorless diatomic gas with the formula . Diatomic oxygen gas constitutes 20.8% of the Earth's atmosphere. As compounds including oxides, the element makes up almost half of the Earth's crust.",te,True,41,O and atomic number 8,O మరియు అణు సంఖ్య 8,False,True
2016లో మధ్యప్రదేశ్ రాష్ట్ర ముఖ్యమంత్రి ఎవరు?,"Sunder Lal Patwa (11 November 1924 – 28 December 2016) was an Indian politician, who served as the 11th Chief Minister of Madhya Pradesh and a cabinet minister in the Government of India. He was born in the village of Kukreshawar located between Manasa and Rampura in the Nimach District of Madhya Pradesh.",te,True,0,Sunder Lal Patwa,సుందర్ లాల్ పాట్వా,False,True
2015నాటికి  తెలంగాణ రాష్ట్రంలో ఎన్ని జిల్లాలు ఉన్నాయి?,"Telangana () is a state in south India. It is situated on the centre-south stretch of the Indian peninsula on the high Deccan Plateau. It is the twelfth largest state and the twelfth-most populated state in India with a geographical area of and 35,193,978 residents as per 2011 census. On 2 June 2014, the area was separated from the northwestern part of Andhra Pradesh as the newly formed 29th state with Hyderabad as its historic permanent capital. Its other major cities include Warangal, Nizamabad, Khammam and Karimnagar. Telangana is bordered by the states of Maharashtra to the north, Chhattisgarh to the east, Karnataka to the west, and Andhra Pradesh to the east and south. The terrain of Telangana region consists mostly of hills, mountain ranges, and thick dense forests distribution of 27,292 sq. km. As of 2018, the state of Telangana is divided into 31 districts.",te,True,864,31,31,False,True
స్నెల్స్ నియమమును మొదటగా ఎవరు కనుగొన్నారు ?,"Although named after Dutch astronomer Willebrord Snellius (1580–1626), the law was first accurately described by the Persian scientist Ibn Sahl at the Baghdad court in 984. In the manuscript ""On Burning Mirrors and Lenses"", Sahl used the law to derive ",te,True,135,Ibn Sahl,ఇబ్న్ సాహ్ల్,False,True
ప్రపంచంలో ఎన్ని సముద్రాలు ఉన్నాయి?,"The ""Seven Seas"" (as in the idiom ""sail the Seven Seas"") is an ancient phrase for all of the world's oceans. Since the 19th century, the term has been taken to include seven oceanic bodies of water:
The World Ocean is also collectively known as just ""the sea.” The International Hydrographic Organization lists over 70 distinct bodies of water called seas.",te,True,4,"""Seven Seas""","""ఏడు సముద్రాలు""",False,True
2018 సంవత్సరంలో భారత్ ప్రధాని గా ఎవరు పని చేసారు?,"Narendra Damodardas Modi (; born 17 September 1950) is an Indian politician serving as the 14th and current Prime Minister of India since 2014. He was the Chief Minister of Gujarat from 2001 to 2014, and is the Member of Parliament for Varanasi. Modi is a member of the Bharatiya Janata Party (BJP) and the Rashtriya Swayamsevak Sangh (RSS).",te,True,0,Narendra Damodardas Modi,నరేంద్ర దమోదార్దస్ మోదీ,False,True
అమృతసర్ జిల్లాలో ఏ మతస్తులు అధికంగా ఉంటారు?,"According to 2011 Census of India, Hinduism and Sikhism were the main religions of the Amritsar city at 49.4% and 48% of the population, respectively. Sikhs form a majority of close to 70% in the Amritsar District on a whole.",te,True,35,Hinduism,హిందూమతం,False,True
వస్తువు యొక్క నాణ్యత ను ఏ శాఖ నిర్దారిస్తుంది?,"The concept of a quality as we think of it now first emerged from the Industrial Revolution.. Previously goods had been made from start to finish by the same person or team of people, with handcrafting and tweaking the product to meet 'quality criteria'. Mass production brought huge teams of people together to work on specific stages of production where one person would not necessarily complete a product from start to finish. In the late 19th century pioneers such as Frederick Winslow Taylor and Henry Ford recognized the limitations of the methods being used in mass production at the time and the subsequent varying quality of output. Birland established Quality Departments to oversee the quality of production and rectifying of errors, and Ford emphasized standardization of design and component standards to ensure a standard product was produced. Management of quality was the responsibility of the Quality department and was implemented by Inspection of product output to 'catch' defects.",te,True,662,Quality Departments,నాణ్యతా విభాగాలు,False,True
గోదావరి నది ఏ ప్రాంతంలో బంగాళాఖాతంలో కలుస్తుంది?,"The Godavari originates in the Western Ghats of central India near Nashik in Maharashtra, from the Arabian Sea. It flows for , first eastwards across the Deccan Plateau then turns southeast, entering the West Godavari district and East Godavari district of Andhra Pradesh, until it splits into two distributaries that widen into a large river delta and flow into the Bay of Bengal.",te,True,231,East Godavari,తూర్పు గోదావరి,False,True
2011 భారత జనగణన గణాంకాల ప్రకారం మహారాష్ట్ర రాష్ట్ర జనాభా ఎంత ?,"According to the provisional results of the 2011 national census, Maharashtra is the richest state in India and second most populous state in India with a population of 112,374,333 (9.28% of India's population) of which male and female are 58,243,056 and 54,131,277 respectively. The total population growth in 2011 was 15.99 percent while in the previous decade it was 22.57 percent. Since independence, the decadal growth rate of population has remained higher (except in the year 1971) than the national average. For the first time, in the year 2011, it was found to be lower than the national average. The 2011 census for the state found 55% of the population to be rural with 45% being urban based.
Marathis comprise the majority of the population. Maratha, Mahar, Buddhist, Kunbi, Muslim, Dhangar, Brahmin, Mali, Mang, Lingayat, Gond, Teli, Bhil, Koli, Dhimar, Rajput, Banjara, Lambadi, Gowari, Agri, Christian, Chambar, Koshti, Vani, Komati, Warli, Mannerwarlu, Jain, Vanjari, Sunar, Kumbhar, Dewang, Kalar are the major communities of Maharashtra .",te,True,169,"112,374,333","112,374,333",False,True
గుంటూరు జిల్లాలో ఉన్న అతిపెద్ద నగరం ఏది?,"Guntur district is an administrative district in the Coastal Andhra region of the Indian state of Andhra Pradesh. The administrative seat of the district is located at Guntur, the largest city of the district in terms of area and population. It has a coastline of approximately 100 km and is situated on the right bank of Krishna River, that separates it from Krishna district and extends till it empties into the Bay of Bengal. It is bounded on the south by Prakasam district and on the west by the state of Telangana. It has an area of and is the 2nd most populous district in the state, with a population of 4,889,230 as per 2011 census of India.",te,True,168,Guntur,గుంటూర్,False,True
బెంగళూరు నగరంలో గల అతిపెద్ద చర్చి ఏది ?,"Infant Jesus Church at Vivek Nagar, which is now the biggest church in Karnataka and a popular pilgrimage centre, has a long history of sacrifice and devotion. The Church was first conceived by Fr. Paul Kinatukara in the sixties and the foundation was laid in April 1970 by Rev. Dr. Lourduswamy, the then Archbishop of Bangalore. The missionary zeal (in spite of daunting hurdles) of Fr. L. Peter established the church on a firm footing and the church was opened to devotees in the year 1979, to honour and glorify the divine Infant Jesus of Prague. Designed by the Architects of Thomas Associates, the church with a fan shaped hall can accommodate about 2500 people. It has 9 faces and openings running all round the church. People seated anywhere in the interior of the church feel that the altar is facing them. The podium is raised above road level with steps and ramp on either side. The replica of the nativity scene in the nativity church of Jerusalem is the main mural of size x . The remarkable feature of the church is the secular nature of the devotees who throng seeking blessings, particularly on Thursdays and Saturdays. St Mary's Feast is celebrated in September every year when devotees gather at the Church dressed in saffron colour.",te,True,0,Infant Jesus Church,శిశువు యేసు చర్చి,False,True
కుష్ఠు వ్యాధిని భారతదేశంలో మొదటిసారి ఎక్కడ కనుగొన్నారు ?,"In 2009, a 4,000-year-old skeleton was uncovered in India that was found to contain traces of leprosy. The discovery was made at a site called Balathal, which is today part of Rajasthan. This is believed to be the oldest known physical case of the disease. This pre-dated by 1500 years the previous earliest recognized case, dating to 6th-century Egypt. It is believed that the excavated skeleton belonged to a male, who was in his late 30s and belonged to the Ahar Chalcolithic culture. Archaeologists have said that this is the first such example that dates to prehistoric India. This finding supports the evidence of the disease spreading to India by human migration routes from its origin in Africa.",te,True,143,Balathal,బాలాథల్,False,True
సాహిత్యంలో నోబెల్ బహుమతిని పొందిన మొదటి వ్యక్తి ఎవరు?,"The Nobel Prize in Literature () is awarded annually by the Swedish Academy to authors for outstanding contributions in the field of literature. It is one of the five Nobel Prizes established by the 1895 will of Alfred Nobel, which are awarded for outstanding contributions in chemistry, physics, literature, peace, and physiology or medicine. As dictated by Nobel's will, the award is administered by the Nobel Foundation and awarded by a committee that consists of five members elected by the Swedish Academy. The first Nobel Prize in Literature was awarded in 1901 to Sully Prudhomme of France. Each recipient receives a medal, a diploma and a monetary award prize that has varied throughout the years. In 1901, Prudhomme received 150,782 SEK, which is equivalent to 8,823,637.78 SEK in January 2018. The award is presented in Stockholm at an annual ceremony on December 10, the anniversary of Nobel's death.",te,True,571,Sully Prudhomme,సల్లీ ప్రుడ్హోమ్,False,True
హ్యారీ పోట్టర్ చిత్ర కథానాయకుడు ఎవరు?,"Daniel Jacob Radcliffe (born 23 July 1989) is an English actor and producer. He is known for playing the titular protagonist in the ""Harry Potter"" film series, based on the novels by J. K. Rowling.",te,True,0,Daniel Jacob Radcliffe,డేనియల్ జాకబ్ రాడ్క్లిఫ్,False,True
24 చిత్ర కథానాయకుడి పేరేమిటి?,"The main setting is Sangala, a fictional African country, where Jack Bauer (Kiefer Sutherland) tries to find peace with himself, and works as a missionary with Carl Benton (Robert Carlyle), who built the Okavango school to aid war orphans. Bauer is served a subpoena to appear before the United States Senate regarding human rights violations, but refuses to go, and a shadow organization among the United States government aids General Juma (Tony Todd) and his militia in a coup d'état.",te,True,64,Jack Bauer (Kiefer Sutherland,జాక్ బౌయర్ (కిఫెర్ సుథర్లాండ్),False,True
కీటకాలలో అతి చిన్న కీటకం ఏది?,"Fairyflies include the smallest known insect, ""Dicopomorpha echmepterygis"" from Costa Rica, which have males that are only long. They do not have wings or eyes, their mouths are mere holes, and their antennae are simply spherical blobs. The ends of their legs have been modified into suction cups for clutching at females long enough to fertilize them. They are so small, their entire bodies are smaller than a single-celled ""Paramecium"". Four male individuals, lined up end-to-end, would just about encompass the width of a period at the end of a typical printed sentence. The females of the species, however, are typical fairyflies, and are much larger. The smallest flying insect is also a mymarid, ""Kikiki huna"" from Hawaii, which is long.",te,True,47,Dicopomorpha echmepterygis,డికోపోమోర్ఫా ఎచ్మెప్టెరిగిస్,False,True
ప్రపంచంలో అతిచిన్న వైశాల్యం కలిగిన దేశం ఏది?,"Vatican City (), officially Vatican City State (; ), is an independent city-state enclaved within Rome, Italy. Established with the Lateran Treaty (1929), it is distinct from yet under ""full ownership, exclusive dominion, and sovereign authority and jurisdiction"" of the Holy See (). With an area of 44 hectares (110 acres), and a population of about 1,000, it is the smallest state in the world by both area and population.",te,True,0,Vatican City,వాటికన్ సిటీ,False,True
వర్ణ చిత్ర దర్శకుడు ఎవరు?,"Irandaam Ulagam () is a 2013 Indian Tamil-language romantic fantasy film written and directed by Selvaraghavan. Starring Arya and Anushka Shetty, the film features soundtrack composed by Harris Jayaraj, background score by Anirudh Ravichander and cinematography handled by Ramji. After several months of production, the film was released worldwide on 22 November 2013. The film was dubbed in Telugu and released as ""Varna"". It was also dubbed in Hindi with the title ""Veer Yoddha"".",te,True,97,Selvaraghavan,సెల్వరాఘవాన్,False,True
నిర్మాణం ని ఆంగ్లములో ఏమంటారు?,"A construction worker is a tradesperson, laborer, or professional employed in the physical construction of the built environment and its infrastructure.",te,True,91,construction,నిర్మాణం,False,True
శ్రీకృష్ణుడిని పెంచిన తండ్రి పేరేమిటి ?,"The tenth and eleventh books of the ""Bhagavata Purana"" are widely considered to be a poetic masterpiece, full of imagination and metaphors, with no relation to the realism of pastoral life found in the ""Harivamsa"". Krishna's life is presented as a cosmic play (""lila""), where his youth is set as a princely life with his foster father Nanda portrayed as a king. Krishna's life is closer to that of a human being in ""Harivamsa"", but is a symbolic universe in the ""Bhagavata Purana"", where Krishna is within the universe and beyond it, as well as the universe itself, always. The ""Bhagavata Purana"" manuscripts also exist in many versions, in numerous Indian languages.",te,True,335,Nanda,నాండా,False,True
బాస్కెట్ బాల్ క్రీడ ఎప్పుడు పుట్టింది?,"The history of basketball began with its invention in 1891 in Springfield, Massachusetts by Canadian physical education instructor James Naismith as a less injury-prone sport than football. The game became established fairly quickly and grew very popular as the 20th century progressed, first in America and then throughout the world. After basketball became established in American colleges, the professional game followed. The American National Basketball Association (NBA), established in 1946, grew to a multibillion-dollar enterprise by the end of the century, and basketball became an integral part of American culture.",te,True,54,1891,1891,False,True
శాన్ మారినో దేశ అధికారిక భాష ఏది?,"San Marino is a nation enclaved within Italy. San Marino recognizes only one official language, Italian. Many Sammarinese people speak English as a second language and French as a third.",te,True,96,Italian,ఇటాలియన్,False,True
విశాఖపట్నం జిల్లా ఆంధ్రప్రదేశ్ లో ఎన్నో అతిపెద్ద జిల్లా?,"The state is made up of the two major regions of Rayalaseema, in the inland southwestern part of the state, and Coastal Andhra to the east and northeast, bordering the Bay of Bengal. The state comprises thirteen districts in total, nine of which are located in Coastal Andhra and four in Rayalaseema. The largest city and commercial hub of the state are Visakhapatnam, located on the Bay of Bengal, with a GDP of US$43.5 billion; the second largest city in the state is Vijayawada, located on the banks of the Krishna River, which has a GDP of US$3 billion (). The economy of Andhra Pradesh is the seventh-largest state economy in India with in gross domestic product and a per capita GDP of .",te,True,305,largest city,అతిపెద్ద నగరం,False,True
అణు సిద్ధాంతంని ప్రతిపాదించింది ఎవరు ?,"John Dalton FRS (; 6 September 1766 – 27 July 1844) was an English chemist, physicist, and meteorologist. He is best known for introducing the atomic theory into chemistry, and for his research into colour blindness, sometimes referred to as Daltonism in his honour.",te,True,0,John Dalton,జాన్ డాల్టన్,False,True
ఆంగ్లేయులు తమ మొదటి స్థావరాన్ని ఎక్కడ ఏర్పరుచుకున్నారు ?,British Camp is an Iron Age hill fort located at the top of Herefordshire Beacon in the Malvern Hills. The hill fort is protected as a Scheduled Ancient Monument and is owned and maintained by Malvern Hills Conservators. The fort is thought to have been first constructed in the 2nd century BC. A Norman castle was built on the site.,te,True,60,Herefordshire Beacon in the Malvern Hills,మాల్వర్న్ హిల్స్ లోని హెర్ఫోర్డ్షైర్ బేకాన్,False,True
భారతదేశంలో హెచ్ పి గ్యాస్ సంస్థ ప్రధానకార్యాలయం ఎక్కడ ఉంది?,"Hindustan Petroleum Corporation Limited (HPCL) (, ) is an Indian state-owned oil and natural gas company with its headquarters at Mumbai, Maharashtra. It has about 25% market-share in India among public-sector companies (PSUs) and a strong marketing infrastructure. Oil and Natural Gas Corporation owns 51.11% shares in HPCL and others are distributed amongst financial institutes, public and other investors. The company is ranked 367th on the ""Fortune Global 500"" list of the world's biggest corporations as of 2016.",te,True,130,Mumbai,ముంబై,False,True
